Plek,Wijk,Postcode,Plaatsnaam,Prijs,Oppervlakte,Kamers,Interieur,Link,AangebodenSinds,Beschikbaarheid,Woningtype,Bouwjaar,Parkeren,Updated,Status
Grebbeweg,Grebbeberg,3911 AV,Rhenen,945,55,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/rhenen/1325179/grebbeweg/,16-11-2022,Per direct,Huis,,Ja,2022-11-20,Active
Berberisweg,Schiebroek,3053 PJ,Rotterdam,1450,120,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/rotterdam/1325178/berberisweg/,16-11-2022,Per 01-12-2022,Appartement,1998.0,Ja,2022-11-20,Active
Bloemstede,Bloemstede,3608 XK,Maarssen,1799,122,5.0,Gemeubileerd,https://www.huurwoningen.nl/huren/maarssen/1325177/bloemstede/,16-11-2022,Per 01-12-2022,Huis,,Ja,2022-11-20,Active
Broeksingel,Malden-West,6581 HB,Malden,1395,110,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/malden/1325175/broeksingel/,15-11-2022,Per direct,Huis,2013.0,Ja,2022-11-20,Active
Dorpsstraat,Bennekom-Zuidoost,6721 JH,Bennekom,1075,75,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/bennekom/1325174/dorpsstraat/,15-11-2022,Per 01-12-2022,Appartement,,Ja,2022-11-20,Active
Dorpsstraat,Wormshoef,6741 AH,Lunteren,635,12,1.0,Gemeubileerd,https://www.huurwoningen.nl/huren/lunteren/1325173/dorpsstraat/,15-11-2022,Per 01-12-2022,Kamer,,Nee,2022-11-20,Active
Debora Bakelaan,Slotherenbuurt,1962 XX,Heemskerk,435,75,4.0,,https://www.huurwoningen.nl/huren/heemskerk/1325170/debora-bakelaan/,15-11-2022,Per direct,Appartement,1970.0,Nee,2022-11-20,Active
Brouwersstraat,en Donk Donk,5741 CL,Beek en Donk,317,50,2.0,,https://www.huurwoningen.nl/huren/beek-en-donk/1325169/brouwersstraat/,15-11-2022,Per direct,Huis,1956.0,Nee,2022-11-20,Active
Narcissenlaan,Bloemenbuurt,2343 TJ,Oegstgeest,595,72,2.0,,https://www.huurwoningen.nl/huren/oegstgeest/1325168/narcissenlaan/,15-11-2022,Per direct,Appartement,1976.0,Nee,2022-11-20,Active
Hofstraat,Centrum,2181 AW,Hillegom,525,81,4.0,,https://www.huurwoningen.nl/huren/hillegom/1325167/hofstraat/,15-11-2022,Per direct,Huis,1935.0,Nee,2022-11-20,Active
Oude Lentsebaan,Wernhout,4884 NB,Wernhout,1150,105,5.0,Gestoffeerd,https://www.huurwoningen.nl/huren/wernhout/1325166/oude-lentsebaan/,15-11-2022,Per 01-01-2023,Huis,2020.0,Nee,2022-11-20,Active
Palaceplein,Haag Belgisch Park,2587 WL,Den Haag,2150,97,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/den-haag/1325165/palaceplein/,15-11-2022,Per 01-12-2022,Appartement,1997.0,Ja,2022-11-20,Active
2e Antonie Heinsiusstraat,Haag Statenkwartier,2582 VS,Den Haag,2995,117,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/den-haag/1325164/2e-antonie-heinsiusstraat/,15-11-2022,Per 31-12-2022,Appartement,1911.0,Nee,2022-11-20,Active
Kees Pijlstraat,Oud IJsselmonde,3077 MH,Rotterdam,1350,78,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/rotterdam/1325163/kees-pijlstraat/,15-11-2022,Per 02-01-2023,Appartement,1999.0,Ja,2022-11-20,Active
Velperpoortslangstraat,Markt,6811 BA,Arnhem,966,80,3.0,Kaal,https://www.huurwoningen.nl/huren/arnhem/1325162/velperpoortslangstraat/,15-11-2022,Per 07-12-2022,Huis,2010.0,Nee,2022-11-20,Active
Steenstraat,Spijkerbuurt,6828 CH,Arnhem,1295,65,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/arnhem/1325157/steenstraat/,15-11-2022,Per direct,Appartement,,Ja,2022-11-20,Active
Griegplein,Groenoord-Midden,3122 VN,Schiedam,1600,95,4.0,Gestoffeerd,https://www.huurwoningen.nl/huren/schiedam/1325155/griegplein/,15-11-2022,Per direct,Appartement,1970.0,Nee,2022-11-20,Active
Hogewerf,Buitenveldert-Oost,1082 NG,Amsterdam,2250,85,1.0,Gemeubileerd,https://www.huurwoningen.nl/huren/amsterdam/1325150/hogewerf/,15-11-2022,Per direct,Appartement,,Nee,2022-11-20,Active
Kuipershaven,Wijnstraat en omgeving,3311 AL,Dordrecht,1350,66,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/dordrecht/1325147/kuipershaven/,15-11-2022,Per direct,Appartement,1894.0,Nee,2022-11-20,Active
Prinseneiland,Haarlemmerbuurt,1013 LR,Amsterdam,2500,110,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/amsterdam/1325145/prinseneiland/,15-11-2022,Per 01-12-2022,Appartement,,Ja,2022-11-20,Active
Middelgeestlaan,Starrenburg,2251 RW,Voorschoten,2550,138,5.0,Gestoffeerd,https://www.huurwoningen.nl/huren/voorschoten/1325144/middelgeestlaan/,15-11-2022,Per direct,Huis,2002.0,Ja,2022-11-20,Active
Pastoor de Kroonstraat,Bosch Binnenstad-Centrum,5211 SR,Den Bosch,1390,82,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/den-bosch/1325143/pastoor-de-kroonstraat/,15-11-2022,Per 01-12-2022,Appartement,,Nee,2022-11-20,Active
Mr. Dr. van den Helmlaan,Pijnacker Noord,2641 DJ,Pijnacker,900,65,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/pijnacker/1325141/mr-dr-van-den-helmlaan/,15-11-2022,Per 01-12-2022,Appartement,1957.0,Nee,2022-11-20,Active
Nieuwe Kerkhof,Hortusbuurt-Ebbingekwartier,9712 PT,Groningen,1475,65,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/groningen/1325140/nieuwe-kerkhof/,15-11-2022,Per 01-01-2023,Appartement,,Nee,2022-11-20,Active
Tuindorp,Dorp,4341 CC,Arnemuiden,975,82,3.0,Kaal,https://www.huurwoningen.nl/huren/arnemuiden/1325139/tuindorp/,15-11-2022,Per direct,Huis,1935.0,Nee,2022-11-20,Active
Ceintuurbaan,Oude Pijp,1074 CZ,Amsterdam,2100,50,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/amsterdam/1325138/ceintuurbaan/,15-11-2022,Per 16-12-2022,Appartement,,Nee,2022-11-20,Active
Warmoesstraat,Binnenstad,2011 HP,Haarlem,1200,38,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/haarlem/1325137/warmoesstraat/,15-11-2022,Per direct,Appartement,1850.0,Nee,2022-11-20,Active
Sint Josephstraat,Bosch Binnenstad-Oost,5211 NJ,Den Bosch,1550,80,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/den-bosch/1325135/sint-josephstraat/,15-11-2022,Per 01-12-2022,Appartement,2021.0,Nee,2022-11-20,Active
Korte Schoonderloostraat,Delfshaven,3024 TP,Rotterdam,1195,55,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/rotterdam/1325134/korte-schoonderloostraat/,15-11-2022,Per 01-12-2022,Appartement,1901.0,Nee,2022-11-20,Active
Hoornweg,Kleinpolder,3042 BC,Rotterdam,1250,30,1.0,Gemeubileerd,https://www.huurwoningen.nl/huren/rotterdam/1325133/hoornweg/,15-11-2022,Per 01-12-2022,Studio,1955.0,Nee,2022-11-20,Active
Zuiderweg,Kleine Driftbuurt,1221 HH,Hilversum,1995,100,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/hilversum/1325132/zuiderweg/,15-11-2022,Per 01-01-2023,Huis,1938.0,Ja,2022-11-20,Active
Statensingel,Statenkwartier,6211 PP,Maastricht,1250,70,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/maastricht/1325131/statensingel/,15-11-2022,Per direct,Appartement,,Ja,2022-11-20,Active
Albert Verweylaan,Sinnevelt,2024 JL,Haarlem,1395,75,4.0,Gestoffeerd,https://www.huurwoningen.nl/huren/haarlem/1325129/albert-verweylaan/,15-11-2022,Per 15-12-2022,Appartement,,Nee,2022-11-20,Active
Wal,Bergen,5611 GG,Eindhoven,1700,54,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/eindhoven/1325128/wal/,15-11-2022,Per 21-11-2022,Appartement,,Ja,2022-11-20,Active
Wal,Bergen,5611 GG,Eindhoven,1700,55,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/eindhoven/1325127/wal/,15-11-2022,Per 25-11-2022,Appartement,,Ja,2022-11-20,Active
Alexander Numankade,"Zeeheldenbuurt, Hengeveldstraat en omgeving",3572 KX,Utrecht,2050,105,4.0,Gemeubileerd,https://www.huurwoningen.nl/huren/utrecht/1325126/alexander-numankade/,15-11-2022,Per 01-01-2023,Huis,1934.0,Nee,2022-11-20,Active
Telderslaan,Transwijk-Noord,3527 KH,Utrecht,1350,74,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/utrecht/1325125/telderslaan/,15-11-2022,Per 01-01-2023,Appartement,1962.0,Nee,2022-11-20,Active
Middellaan,Schorsmolen,4811 VL,Breda,1055,63,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/breda/1325123/middellaan/,15-11-2022,Per 01-12-2022,Appartement,,Ja,2022-11-20,Active
Markendaalseweg,Boeimeer,4811 KW,Breda,957,45,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/breda/1325122/markendaalseweg/,15-11-2022,Per 01-01-2023,Appartement,,Ja,2022-11-20,Active
Raaphorstlaan,Oud-Clingendaal,2245 BH,Wassenaar,1450,98,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/wassenaar/1325121/raaphorstlaan/,15-11-2022,Per direct,Appartement,1973.0,Nee,2022-11-20,Active
Botersloot,Stadsdriehoek,3011 HE,Rotterdam,1995,100,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/rotterdam/1325119/botersloot/,15-11-2022,Per 01-01-2023,Appartement,,Ja,2022-11-20,Active
Mauritsplaats,Cool,3012 CD,Rotterdam,1650,85,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/rotterdam/1325118/mauritsplaats/,15-11-2022,Per 15-01-2023,Appartement,,Nee,2022-11-20,Active
Willebrordstraat,Westkapelle,4361 CN,Westkapelle,1150,110,4.0,Kaal,https://www.huurwoningen.nl/huren/westkapelle/1325117/willebrordstraat/,15-11-2022,Per 01-01-2023,Huis,1965.0,Nee,2022-11-20,Active
Golfbaan,Auteursbuurt,2202 TC,Noordwijk,1150,48,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/noordwijk-zh/1325116/golfbaan/,15-11-2022,Per 01-12-2022,Huis,1955.0,Nee,2022-11-20,Active
Groenstraat,Parklaan-Hoogstraat,4702 VG,Roosendaal,700,16,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/roosendaal/1325114/groenstraat/,15-11-2022,Per 01-12-2022,Studio,,Nee,2022-11-20,Active
Marktplein,Kapelle,4421 JP,Kapelle,1100,82,3.0,,https://www.huurwoningen.nl/huren/kapelle/1325113/marktplein/,15-11-2022,Per direct,Appartement,1999.0,Nee,2022-11-20,Active
Brink,Beroepenbuurt,1188 ND,Amstelveen,1390,56,2.0,,https://www.huurwoningen.nl/huren/amstelveen/1325112/brink/,15-11-2022,Per 01-12-2022,Appartement,2020.0,Nee,2022-11-20,Active
Broersvest,Buurt 00,3111 EA,Schiedam,2175,93,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/schiedam/1325111/broersvest/,15-11-2022,Per 15-12-2022,Appartement,1900.0,Nee,2022-11-20,Active
Westduinweg,Haag Vissershaven,2583 EK,Den Haag,1335,50,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/den-haag/1325110/westduinweg/,15-11-2022,Per direct,Appartement,1934.0,Nee,2022-11-20,Active
Amersfoortsestraat,Leusderheide,3769 AN,Soesterberg,1635,112,4.0,Gestoffeerd,https://www.huurwoningen.nl/huren/soesterberg/1325107/amersfoortsestraat/,15-11-2022,Per 15-01-2023,Appartement,1999.0,Nee,2022-11-20,Active
Amersfoortsestraat,Leusderheide,3769 AN,Soesterberg,1635,109,4.0,Gestoffeerd,https://www.huurwoningen.nl/huren/soesterberg/1325106/amersfoortsestraat/,15-11-2022,Per 15-01-2023,Appartement,1999.0,Nee,2022-11-20,Active
Mauritsstraat,Wilhelminapark en omgeving,3583 HT,Utrecht,1795,64,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/utrecht/1325105/mauritsstraat/,15-11-2022,Per direct,Appartement,1906.0,Ja,2022-11-20,Active
Williamsperenlaan,Vleuterweide-Zuid,3452 DH,Vleuten,1495,75,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/vleuten/1325104/williamsperenlaan/,15-11-2022,Per direct,Huis,2004.0,Ja,2022-11-20,Active
Schammenkamp,Zuidwijk,3085 GR,Rotterdam,945,71,4.0,,https://www.huurwoningen.nl/huren/rotterdam/1325103/schammenkamp/,15-11-2022,Per direct,Appartement,,Nee,2022-11-20,Active
Herbenusstraat,Statenkwartier,6211 RH,Maastricht,1695,74,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/maastricht/1325101/herbenusstraat/,15-11-2022,Per direct,Appartement,1910.0,Nee,2022-11-20,Active
Cannerweg,Sint Pieter,6213 NB,Maastricht,600,28,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/maastricht/1325100/cannerweg/,15-11-2022,Per direct,Appartement,1900.0,Nee,2022-11-20,Active
Cannerweg,Biesland,6213 NC,Maastricht,1100,50,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/maastricht/1325099/cannerweg/,15-11-2022,Per 02-01-2023,Appartement,1900.0,Nee,2022-11-20,Active
Caeciliastraat,De Camp,2312 XB,Leiden,1455,65,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/leiden/1325098/caeciliastraat/,15-11-2022,Per 01-02-2023,Appartement,1850.0,Nee,2022-11-20,Active
Maasstraat,Scheldebuurt,1079 BE,Amsterdam,2300,88,4.0,Kaal,https://www.huurwoningen.nl/huren/amsterdam/1325097/maasstraat/,15-11-2022,Per 01-02-2023,Appartement,1933.0,Nee,2022-11-20,Active
Brabantsestraat,Hillesluis,3074 RN,Rotterdam,1250,79,2.0,,https://www.huurwoningen.nl/huren/rotterdam/1325096/brabantsestraat/,15-11-2022,Per direct,Appartement,1926.0,Nee,2022-11-20,Active
Grotekerksplein,Groenmarkt en omgeving,3311 CC,Dordrecht,1085,125,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/dordrecht/1325095/grotekerksplein/,15-11-2022,Per 01-01-2023,Appartement,,Ja,2022-11-20,Active
Dorpstraat,Veldhoven,5504 HA,Veldhoven,1250,50,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/veldhoven/1325093/dorpstraat/,15-11-2022,Per 02-01-2023,Appartement,2015.0,Ja,2022-11-20,Active
Dorpstraat,Veldhoven,5504 HA,Veldhoven,1250,50,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/veldhoven/1325092/dorpstraat/,15-11-2022,Per 02-01-2023,Appartement,2015.0,Ja,2022-11-20,Active
Zwarteweg,Ministerpark,1412 GD,Naarden,1275,56,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/naarden/1325091/zwarteweg/,15-11-2022,Per direct,Appartement,,Nee,2022-11-20,Active
Hartingstraat,Hooch Boulandt,3511 HV,Utrecht,1450,60,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/utrecht/1325088/hartingstraat/,15-11-2022,Per 01-12-2022,Appartement,,Nee,2022-11-20,Active
Dijkstraat,Centrum-Appingedam,9901 AN,Appingedam,975,85,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/appingedam/1325087/dijkstraat/,15-11-2022,Per 01-12-2022,Appartement,,Nee,2022-11-20,Active
Zweringweg,Stadsveld-Zuid,7545 DB,Enschede,925,72,4.0,Kaal,https://www.huurwoningen.nl/huren/enschede/1325085/zweringweg/,15-11-2022,Per direct,Appartement,1962.0,Nee,2022-11-20,Active
Oogstplein,Stevenfenne,7545 HP,Enschede,958,75,4.0,Gemeubileerd,https://www.huurwoningen.nl/huren/enschede/1325084/oogstplein/,15-11-2022,Per 01-01-2023,Appartement,1957.0,Nee,2022-11-20,Active
Gerard Doustraat,Ossenkoppelerhoek Midden Noord,7606 GD,Almelo,350,85,2.0,Kaal,https://www.huurwoningen.nl/huren/almelo/1315843/gerard-doustraat/,7 weken,Per direct,Appartement,,Ja,2022-11-20,Active
De Hooghlaan,Bilthoven Noord II,3723 GS,Bilthoven,1155,65,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/bilthoven/1325083/de-hooghlaan/,15-11-2022,Per 01-12-2022,Appartement,,Ja,2022-11-20,Active
Wierdensestraat,Binnenstad Noord,7607 GG,Almelo,720,30,1.0,Gemeubileerd,https://www.huurwoningen.nl/huren/almelo/1325080/wierdensestraat/,15-11-2022,Per 22-12-2022,Studio,,Nee,2022-11-20,Active
Rietgrachtstraat,Boulevardwijk,6828 KD,Arnhem,725,47,2.0,Kaal,https://www.huurwoningen.nl/huren/arnhem/1325076/rietgrachtstraat/,15-11-2022,Per direct,Appartement,,Nee,2022-11-20,Active
Oostkade,van Gent Kern Sas van Gent,4551 CL,Sas van Gent,975,36,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/sas-van-gent/1325075/oostkade/,15-11-2022,Per direct,Appartement,1905.0,Nee,2022-11-20,Active
Noordstraat,Kern Axel,4571 GD,Axel,900,164,4.0,Gestoffeerd,https://www.huurwoningen.nl/huren/axel/1325074/noordstraat/,15-11-2022,Per 06-12-2022,Appartement,1972.0,Nee,2022-11-20,Active
Tweede Laurierdwarsstraat,Jordaan,1016 RC,Amsterdam,2950,111,4.0,Gemeubileerd,https://www.huurwoningen.nl/huren/amsterdam/1325072/tweede-laurierdwarsstraat/,15-11-2022,Per 01-01-2023,Appartement,1995.0,Nee,2022-11-20,Active
Franklinstraat,Haag Koningsplein en omgeving,2562 CD,Den Haag,2000,114,4.0,Gemeubileerd,https://www.huurwoningen.nl/huren/den-haag/1325071/franklinstraat/,15-11-2022,Per 02-01-2023,Appartement,1895.0,Nee,2022-11-20,Active
Kamerlingh Onnesstraat,Bosch Boschveld,5223 ET,Den Bosch,1191,145,4.0,,https://www.huurwoningen.nl/huren/den-bosch/1325070/kamerlingh-onnesstraat/,15-11-2022,Per 05-12-2022,Huis,2010.0,Nee,2022-11-20,Active
Trompstraat,Kruiskamp-Noord,3814 SP,Amersfoort,1650,86,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/amersfoort/1324702/trompstraat/,15-11-2022,Per 15-01-2023,Huis,1937.0,Nee,2022-11-20,Active
Rozenstraat,Brouwerijweg e.o.,6814 EG,Arnhem,1075,50,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/arnhem/1325067/rozenstraat/,15-11-2022,Per 16-01-2023,Appartement,,Ja,2022-11-20,Active
Leurse Branden,Noord 4,4871 EK,Etten-Leur,1350,83,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/etten-leur/1325066/leurse-branden/,15-11-2022,Per 01-01-2023,Appartement,,Ja,2022-11-20,Active
Dirk Dekkerstraat,Zuidoostbeemster,1461 AH,Zuidoostbeemster,1150,64,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/zuidoostbeemster/1325065/dirk-dekkerstraat/,15-11-2022,Per 15-01-2023,Appartement,,Ja,2022-11-20,Active
Cornelis Heinricksestraat,Groot IJsselmonde,3078 HJ,Rotterdam,475,15,1.0,Gemeubileerd,https://www.huurwoningen.nl/huren/rotterdam/1325064/cornelis-heinricksestraat/,15-11-2022,Per direct,Kamer,,Nee,2022-11-20,Active
Schiphorsterweg,Schiphorst De Schiphorst,7966 AB,De Schiphorst,250,128,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/de-schiphorst/1325062/schiphorsterweg/,15-11-2022,Per direct,Huis,,Nee,2022-11-20,Active
Barkasstraat,IJburg West,1086 VJ,Amsterdam,2450,79,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/amsterdam/1325061/barkasstraat/,15-11-2022,Per 15-12-2022,Appartement,,Nee,2022-11-20,Active
Hanzestraat,Winkelcentrum,6826 MG,Arnhem,850,74,4.0,Kaal,https://www.huurwoningen.nl/huren/arnhem/1325060/hanzestraat/,15-11-2022,Per 01-12-2022,Appartement,,Ja,2022-11-20,Active
Beekpoort,Weert-Centrum,6001 HA,Weert,800,62,2.0,Kaal,https://www.huurwoningen.nl/huren/weert/1325058/beekpoort/,15-11-2022,Per 16-01-2023,Appartement,2012.0,Nee,2022-11-20,Active
Nieuwe Spiegelstraat,Grachtengordel-Zuid,1017 DD,Amsterdam,1750,52,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/amsterdam/1325056/nieuwe-spiegelstraat/,15-11-2022,Per 27-11-2022,Appartement,,Ja,2022-11-20,Active
Heemstedelaan,Nieuw Hoograven-Noord,3523 KE,Utrecht,1585,60,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/utrecht/1325055/heemstedelaan/,15-11-2022,Per 01-12-2022,Appartement,2015.0,Nee,2022-11-20,Active
Zwartezeestraat,"Getijdenbuurt, Sportpark Doggersbank",8226 CB,Lelystad,1750,106,5.0,Gestoffeerd,https://www.huurwoningen.nl/huren/lelystad/1324574/zwartezeestraat/,15-11-2022,Per 15-12-2022,Huis,1983.0,Ja,2022-11-20,Active
Meander,Stadshart,1181 WN,Amstelveen,2250,110,4.0,Gemeubileerd,https://www.huurwoningen.nl/huren/amstelveen/1325053/meander/,15-11-2022,Per 01-12-2022,Appartement,1981.0,Nee,2022-11-20,Active
Nieuwe Spiegelstraat,Grachtengordel-Zuid,1017 DE,Amsterdam,2500,90,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/amsterdam/1325052/nieuwe-spiegelstraat/,15-11-2022,Per direct,Appartement,1991.0,Nee,2022-11-20,Active
Coornhertstraat,Hasselaersbuurt,2013 EW,Haarlem,1650,85,3.0,,https://www.huurwoningen.nl/huren/haarlem/1325050/coornhertstraat/,15-11-2022,Per 01-01-2023,Appartement,1895.0,Nee,2022-11-20,Active
IJburglaan,IJburg West,1087 CL,Amsterdam,1995,115,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/amsterdam/1325048/ijburglaan/,15-11-2022,Per 01-12-2022,Appartement,,Ja,2022-11-20,Active
Cornelis Schuytstraat,Museumkwartier,1071 JH,Amsterdam,2800,65,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/amsterdam/1325047/cornelis-schuytstraat/,15-11-2022,Per 02-12-2022,Appartement,1894.0,Nee,2022-11-20,Active
Aldendriellaan,Landerije,4706 VA,Roosendaal,3250,204,7.0,Gemeubileerd,https://www.huurwoningen.nl/huren/roosendaal/1325046/aldendriellaan/,15-11-2022,Per 01-01-2023,Huis,,Nee,2022-11-20,Active
Molenstraat,Oud-Vossemeer,4698 BA,Oud-Vossemeer,1000,184,6.0,Gestoffeerd,https://www.huurwoningen.nl/huren/oud-vossemeer/1325045/molenstraat/,15-11-2022,Per direct,Appartement,1979.0,Ja,2022-11-20,Active
Kastanjelaan,op Zoom Gageldonk-West,4621 HL,Bergen op Zoom,975,45,1.0,Gemeubileerd,https://www.huurwoningen.nl/huren/bergen-op-zoom/1325044/kastanjelaan/,15-11-2022,Per direct,Studio,,Nee,2022-11-20,Active
Zuidhoek,Oud Charlois,3082 PB,Rotterdam,1650,97,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/rotterdam/1325043/zuidhoek/,15-11-2022,Per 01-12-2022,Appartement,1930.0,Ja,2022-11-20,Active
Pelikaanlaan,Dichters- en Vogelbuurt,2106 DJ,Heemstede,1545,76,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/heemstede/1325042/pelikaanlaan/,15-11-2022,Per 01-02-2023,Appartement,,Nee,2022-11-20,Active
Burgemeester Verduynstraat,Rotterdam Pernis,3195 SC,Pernis Rotterdam,130,66,3.0,,https://www.huurwoningen.nl/huren/pernis-rotterdam/1325040/burgemeester-verduynstraat/,15-11-2022,Per direct,Huis,1955.0,Nee,2022-11-20,Active
Bloemgracht,Jordaan,1016 KN,Amsterdam,2000,69,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/amsterdam/1325039/bloemgracht/,15-11-2022,Per 01-01-2023,Appartement,,Ja,2022-11-20,Active
Kievit,Buitengebied Baarle-Nassau,5111 HD,Baarle-Nassau,1150,72,4.0,Gemeubileerd,https://www.huurwoningen.nl/huren/baarle-nassau/1325037/kievit/,15-11-2022,Per direct,Huis,,Ja,2022-11-20,Active
J.H. Leopoldstraat,Bosch De Meerendonk,5216 SJ,Den Bosch,1900,134,6.0,Gestoffeerd,https://www.huurwoningen.nl/huren/den-bosch/1325035/j-h-leopoldstraat/,15-11-2022,Per 02-01-2023,Huis,2011.0,Ja,2022-11-20,Active
Oeverstraat,Welgelegen,8921 EM,Leeuwarden,475,16,1.0,Kaal,https://www.huurwoningen.nl/huren/leeuwarden/1325034/oeverstraat/,15-11-2022,Per direct,Kamer,1900.0,Nee,2022-11-20,Active
Dominicanenstraat,Langenboom,5453 JN,Langenboom,740,50,2.0,Kaal,https://www.huurwoningen.nl/huren/langenboom/1324899/dominicanenstraat/,15-11-2022,Per 24-11-2022,Appartement,2022.0,Nee,2022-11-20,Active
William Singerweg,Blaricum-Dorp,1261 EJ,Blaricum,3795,170,6.0,Gestoffeerd,https://www.huurwoningen.nl/huren/blaricum/1325033/william-singerweg/,15-11-2022,Per direct,Huis,,Nee,2022-11-20,Active
Burgemeester Reigerstraat,Oudwijk,3581 KW,Utrecht,975,49,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/utrecht/1325032/burgemeester-reigerstraat/,15-11-2022,Per 01-12-2022,Appartement,1900.0,Ja,2022-11-20,Active
Aalstweg,Moleneind-Groenewoud,5401 ZR,Uden,1395,130,5.0,Gestoffeerd,https://www.huurwoningen.nl/huren/uden/1325031/aalstweg/,15-11-2022,Per 01-01-2023,Huis,1973.0,Nee,2022-11-20,Active
Jan van Zutphenstraat,Osdorp-Midden,1069 RS,Amsterdam,2500,118,,,https://www.huurwoningen.nl/huren/amsterdam/1325029/jan-van-zutphenstraat/,15-11-2022,Per 01-12-2022,Appartement,,Nee,2022-11-20,Active
Wagenaarstraat,Hoefstraat Zuid,5014 MZ,Tilburg,850,26,1.0,,https://www.huurwoningen.nl/huren/tilburg/1325026/wagenaarstraat/,15-11-2022,Per direct,Studio,,Nee,2022-11-20,Active
Silenenstraat,Bosch Orthenpoort,5212 XG,Den Bosch,525,16,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/den-bosch/1325025/silenenstraat/,15-11-2022,Per direct,Kamer,,Ja,2022-11-20,Active
Pluimgras,Leedewijk-Noord,2318 TK,Leiden,1350,70,2.0,,https://www.huurwoningen.nl/huren/leiden/1325023/pluimgras/,15-11-2022,Per 07-02-2023,Appartement,1977.0,Nee,2022-11-20,Active
Puck van Heelstraat,Oud IJsselmonde,3077 MG,Rotterdam,2750,145,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/rotterdam/1325022/puck-van-heelstraat/,15-11-2022,Per direct,Appartement,1998.0,Nee,2022-11-20,Active
Nieuwe Kerkweg,Nieuw-Wehl-Centrum,7031 HJ,Wehl,900,37,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/wehl/1324569/nieuwe-kerkweg/,15-11-2022,Per 01-02-2023,Appartement,1950.0,Ja,2022-11-20,Active
